titulo_servico,descricao_completa
Fiscalização de atividades econômicas sem alvará,"## **O que é:**

Este serviço consiste na fiscalização de estabelecimentos que desenvolvem atividades econômicas de forma irregular no município do Rio de Janeiro. Isso inclui aqueles que funcionam sem o **Alvará de Licença de Estabelecimento** ou em desacordo com as condições do licenciamento já existente.


**Para que serve:**

O serviço tem como objetivo principal garantir a **regularidade** das atividades econômicas na cidade, identificando e combatendo o funcionamento de estabelecimentos que não possuem a licença necessária ou que estão operando em desacordo com as normas estabelecidas, promovendo um ambiente de negócios justo e regulamentado.

A fiscalização pode ocorrer em áreas particulares ou públicas, independentemente do período de funcionamento. Um estabelecimento flagrado em situação irregular está sujeito a um processo que envolve orientação, notificação, autuação com multa, interdição e, em casos extremos, a cassação do alvará.   
Ações de interdição física, que impedem o acesso e fecham compulsoriamente as portas, podem ser realizadas com o apoio policial.


**Quem pode solicitar:**

Qualquer cidadão que identifique um estabelecimento ou atividade econômica funcionando de forma irregular em imóvel particular pode solicitar este serviço."
IPTU – Autenticidade da Certidão de Situação Fiscal e Enfitêutica do Imóvel,"## O que é:

Este serviço permite a confirmação da autenticidade de uma certidão do Imposto Predial e Territorial Urbano (IPTU) e Enfitêutica. Ele verifica se o documento é válido e foi emitido oficialmente.

Ao consultar, são apresentados dados detalhados da emissão da certidão, como a data e hora em que foi gerada, o número de folhas, o valor de débitos existentes e demais informações existentes no quadro de informações complementares, assim como também a situação enfitêutica do imóvel.


## Para que serve:

O serviço serve para validar a originalidade e a integridade de certidões de IPTU e Enfitêutica. Ele garante que as informações contidas no documento são oficiais e correspondem aos registros da Secretaria Municipal de Fazenda.

Isso é essencial para transações imobiliárias, processos legais ou qualquer situação que exija a comprovação da veracidade de uma certidão fiscal do imóvel.


## Quem pode solicitar:

Qualquer cidadão ou entidade que possua o número de uma certidão de IPTU e Enfitêutica e precise confirmar sua autenticidade. É necessário ter o número da certidão em mãos para realizar a consulta."
Limpeza de ralos,
Limpeza de praças e parques,
Fiscalização da atuação do guardador de estacionamento Rio Rotativo,
Solicitação de emissão de BRAT em acidente de trânsito sem vítima,
"Informações sobre o acolhimento institucional de adultos, famílias, idosos em vulnerabilidade","## O que é:

Este é um serviço Tipificado Federal da Proteção Social Especial de Alta Complexidade. Ele oferece acolhimento provisório para famílias e indivíduos que se encontram em situação de abandono, ameaça ou violação de direitos, necessitando de suporte fora de seu núcleo familiar de origem devido à vulnerabilidade social.

O serviço inclui diferentes tipos de unidades. As **Centrais de Recepção de Acolhimento** são unidades de passagem e regulação de vagas, oferecendo acolhimento imediato e emergencial 24 horas por dia, além de realizar os encaminhamentos necessários. Os **Albergues Mais Tempo - CASA SUAS - Acolhimento Institucional** oferecem acolhimento social em regime de pernoite para adultos e idosos, destinado a pessoas em fase de consolidação de autonomia pessoal e financeira que precisam de mais tempo para reinserção social sustentável. As **Unidades de Reinserção Social** proporcionam acolhimento social 24 horas para crianças, adultos, idosos e famílias em situação de vulnerabilidade com vínculos familiares rompidos, especialmente quando todas as possibilidades de autossustento estão esgotadas.


## Para que serve:

O serviço serve para proporcionar **acolhimento provisório e proteção** a famílias e indivíduos em situações de abandono, ameaça ou violação de direitos. Ele garante um espaço seguro e suporte para aqueles que se encontram em vulnerabilidade social, oferecendo um ambiente para a reinserção social e a consolidação da autonomia pessoal e financeira.


## Quem pode solicitar:

Podem solicitar o serviço **famílias e indivíduos** que estejam em situação de abandono, ameaça ou violação de direitos e que necessitem de acolhimento provisório fora de seu núcleo familiar de origem devido à vulnerabilidade social. Isso inclui populações adulta e idosa, bem como crianças e famílias com vínculos familiares rompidos e sem meios de autossustento."
Fiscalização sanitária em serviços de alimentos e ensino,
Emissão de Relatório de Informação Urbanística (RIU),
Autorização para colocação de mesas e cadeiras em área pública,"**O que é:**  
Este serviço destina-se à solicitação de Alvará de Autorização para a instalação e manutenção de mesas e cadeiras em logradouros públicos.

O processo envolve a análise da documentação para assegurar que não haja obstrução à circulação de pedestres ou ao acesso de propriedades vizinhas. A conformidade com as normas urbanísticas e de postura municipal é um requisito fundamental para a emissão do alvará.

**Para que serve:**  
Regularizar a ocupação de espaços públicos por estabelecimentos comerciais, permitindo a instalação de mesas e cadeiras em calçadas de acordo com os parâmetros legais e urbanísticos definidos pela prefeitura do Rio de Janeiro.

**Quem pode solicitar:**  
Proprietários ou representantes legais de estabelecimentos comerciais, como bares, restaurantes, lanchonetes e similares, que desejam ocupar áreas públicas adjacentes para a colocação de mesas e cadeiras, mediante a devida autorização."
Avaliação de risco de queda da árvore,"## **O que é:**

Este serviço consiste na avaliação** **por** **Engenheiro Florestal ou Agrônomo de uma árvore que está em área pública e que demonstra sinais de que pode cair, com posterior remoção da árvore, se o risco for comprovado.


## **Para que serve:**

Garantir a segurança pública, removendo árvores em vias públicas que estejam com risco iminente de queda.


## **Quem pode solicitar:**

Qualquer cidadão pode solicitar este serviço ao identificar que uma árvore que apresente sinais de que esta prestes a cair localizada em via pública de livre acesso."
Inclusão ou exclusão de motorista auxiliar de táxi,
"Verificação de negligência com idoso, abandono ou autonegligência","## O que é:

Este serviço oferece atendimento à pessoa idosa por meio das equipes de Assistentes Sociais da Secretaria Municipal de Envelhecimento Saudável e Qualidade de Vida (SEMESQV). Ele deve ser acionado quando um cidadão tem conhecimento de uma situação de negligência, abandono ou autonegligência envolvendo um idoso.


## Para que serve:

Garantir a proteção e o bem-estar da pessoa idosa, assegurando que situações de negligência, abandono ou autonegligência sejam verificadas. As equipes realizam avaliação técnica e encaminham os casos aos órgãos competentes para a devida proteção dos direitos do idoso.


## Quem pode solicitar:

Qualquer cidadão que tenha conhecimento ou presencie uma situação de negligência, abandono ou autonegligência envolvendo uma pessoa idosa."
Atendimento ao consumidor - Procon Carioca,
Informações sobre tarifas de táxi,
Atendimento em Hospitais de Emergência e Pronto Atendimento,
IPTU - Alteração de dados do destinatário,"## O que é:

Este serviço permite a alteração dos dados do destinatário do Imposto Predial e Territorial Urbano (IPTU). Ele garante que a notificação de lançamento anual do IPTU e outras comunicações administrativas sobre o imóvel sejam enviadas para o endereço correto.

O pedido de alteração pode ser solicitado durante todo o ano, com exceção do período em que o serviço é interrompido para a emissão anual do IPTU.


**Aviso: **Informamos que as alterações de titularidade e destinatário processadas após 26/12/25 só constarão na notificação de lançamento (antigo carnê) do IPTU de 2027.

Todavia, as alterações realizadas após essa data poderão ser confirmadas por meio de certidões que podem ser emitidas pela internet:


- Certidão de elementos cadastrais do IPTU disponível no link:

[https://www2.rio.rj.gov.br/smf/iptucertcadastral/](https://www2.rio.rj.gov.br/smf/iptucertcadastral/)

- Certidão de situação fiscal e enfitêutica no link:

[https://www2.rio.rj.gov.br/smf/iptucertfiscal/](https://www2.rio.rj.gov.br/smf/iptucertfiscal/)


## Para que serve:

Assegurar que as notificações de lançamento anual do IPTU e demais comunicações administrativas relacionadas ao imóvel sejam entregues ao destinatário correto, evitando extravios e garantindo a regularidade fiscal.


## Quem pode solicitar:

Proprietários de imóveis no município do Rio de Janeiro ou seus representantes legais. Isso inclui procuradores, administradoras de imóveis e inquilinos, desde que devidamente autorizados por procuração do proprietário."
Vistoria em imóvel com rachadura e infiltração,
Cópia digital de Planta de Arquitetura,
ITBI - Correção de dados da guia paga (folha suplementar),
Solicitação de transporte da gestante para a maternidade,"## O que é:

Este serviço oferece o transporte por ambulância para gestantes que moram no município do Rio de Janeiro para realização do parto e atendimento obstétrico.


## Para que serve:

Serve para garantir o transporte seguro e adequado de gestantes para as maternidades do programa Cegonha Carioca. Ele assegura que a gestante receba o atendimento obstétrico necessário no local de referência para o parto.


## Quem pode solicitar:

O serviço pode ser solicitado por qualquer cidadão para uma gestante que atenda aos critérios. A gestante deve ser moradora do município do Rio de Janeiro e estar dentro do município no momento da solicitação do transporte.


## Informações complementares:

- O chamado pode ser aberto mesmo que o bebê já tenha nascido;
- A gestante precisa ser moradora do Rio de Janeiro e estar dentro dos limites do município no momento em que o transporte é solicitado;
- O transporte será feito, de forma prioritária, para a maternidade de referência do programa Cegonha Carioca, considerando a unidade onde a gestante faz o pré-natal ou o seu local de moradia. Após a avaliação de uma enfermeira e contato com a central de regulação, a gestante pode ser levada para a maternidade mais adequada ao seu quadro atual;
- É importante saber que o transporte Cegonha Carioca leva a gestante para a maternidade de referência, mas não a retorna para casa caso a internação não seja necessária;
- A gestante tem direito a um acompanhante de livre escolha durante a transferência na ambulância cegonha carioca, porém não será feito o transporte de acompanhantes menores de 16 anos (exceto se for o pai do bebê);
- A previsão de chegada da ambulância é de até 60 minutos. Caso a ambulância não chegue no prazo previsto, alerte a Central 1746 informando o número do protocolo."
Autorização de poda ou remoção de árvore em área particular,
Certidão de Habite-se/Aceitação,
Declaração de rendimentos de servidor ativo,
Informações sobre o Benefício de Prestação Continuada,"## O que é:

O Benefício de Prestação Continuada (BPC/LOAS) é um benefício assistencial que garante o valor de um salário mínimo mensal. Ele é destinado a idosos e pessoas com deficiência que se enquadram nos critérios de renda estabelecidos.

A Secretaria Municipal de Assistência Social (SMAS) atua exclusivamente na inscrição e atualização do Cadastro Único, que é essencial para a manutenção do BPC. A solicitação e a concessão final do benefício são realizadas pelo Instituto Nacional do Seguro Social (INSS).


## Para que serve:

Garantir um benefício assistencial no valor de um salário mínimo para idosos e pessoas com deficiência em situação de vulnerabilidade. O Cadastro Único, necessário para o BPC, também possibilita o acesso a diversos outros programas sociais.


## Quem pode solicitar:

Pessoas idosas a partir de 65 anos e pessoas com deficiência. É necessário que a renda familiar mensal por pessoa seja de até ¼ do salário mínimo.

O responsável pela família deve agendar o atendimento para a inscrição ou atualização no Cadastro Único. O não comparecimento para cadastramento ou atualização pode resultar na suspensão do benefício."
Isenção de Imposto de Renda,"## O que é:


O serviço oferece informações sobre a isenção do Imposto de Renda para servidores aposentados e pensionistas que são portadores de doenças graves. Esta isenção se aplica aos rendimentos de aposentadoria, pensão ou reforma, desde que o beneficiário se enquadre em uma das condições de saúde específicas. As doenças que qualificam para a isenção incluem AIDS (Síndrome da Imunodeficiência Adquirida), Alienação Mental, Cardiopatia Grave, Cegueira, Contaminação por radiação, Doença de Paget em estados avançados (Osteíte Deformante), Doença de Parkinson, Esclerose Múltipla, Espondiloartrose Anquilosante, Fibrose Cística (Mucoviscidose), Hanseníase, Nefropatia, Hepatopatia Grave, Neoplasia Maligna, Paralisia Irreversível e Incapacitante, e Tuberculose Ativa. Também são isentos os proventos de aposentadoria ou reforma motivada por acidente em serviço e os percebidos por portadores de moléstia profissional.


## Para que serve:


O serviço serve para informar e permitir que servidores aposentados e pensionistas, portadores de doenças graves, obtenham a isenção do Imposto sobre a Renda da Pessoa Física (IRPF). Além disso, possibilita que o requerente solicite o ressarcimento de valores junto à Receita Federal, desde que a data do diagnóstico da doença seja registrada no laudo pericial.


## Quem pode solicitar:


Servidores aposentados e pensionistas do município do Rio de Janeiro que sejam portadores de uma das doenças graves listadas. É necessário que os rendimentos sejam relativos à aposentadoria, pensão ou reforma. Para inativos com duas matrículas e/ou que também sejam pensionistas, é preciso citar todas as matrículas e incluir os respectivos documentos no requerimento. Após a solicitação online, o processo será encaminhado para a Coordenadoria de Perícias Médicas, que agendará uma perícia. O requerente deverá apresentar à perícia médica toda a documentação original pertinente para análise do pedido."
Informações sobre pedido de aposentadoria,"## O que é:

Este serviço trata da concessão do benefício de aposentadoria para servidores públicos. Ele permite que o servidor, ao cumprir os requisitos estabelecidos, possa se afastar de suas atividades e receber o benefício previdenciário.


## Para que serve:

Garantir o direito do servidor público à aposentadoria, assegurando a **segurança financeira** após anos de contribuição e serviço. O benefício é concedido conforme as regras de tempo de contribuição e idade.


## Quem pode solicitar:

Servidores públicos que atendam aos critérios de aposentadoria. Atualmente, exige-se 35 anos de contribuição e 60 anos de idade para homens, e 30 anos de contribuição e 55 anos de idade para mulheres.

Para professores, há uma redução de cinco anos no tempo de contribuição e na idade, desde que comprovem a regência. Professores fora de regência seguem os critérios dos demais servidores.

Qualquer servidor pode solicitar a aposentadoria por idade, desde que tenha 65 anos (homem) ou 60 anos (mulher), com mínimo de 5 anos de efetivo exercício no cargo e 10 anos de efetivo exercício no serviço público. A aposentadoria também pode ocorrer por invalidez permanente ou compulsoriamente aos 75 anos de idade."
Previ-Rio – atendimento ao público,"## O que é

Este serviço oferece atendimento ao público do Previ-Rio, disponível tanto de forma presencial quanto online. O atendimento presencial é realizado na Central de Atendimento do Previ-Rio.

O Previ-Rio também disponibiliza o **Painel digital** uma plataforma online que oferece soluções para quase todos os atendimentos relacionados à Prev-Rio que antes eram feitos presencialmente.


## Para que serve

Facilitar o acesso a informações e serviços do Previ-Rio para servidores e pensionistas. O objetivo é proporcionar canais de atendimento eficientes, tanto presenciais quanto digitais, para que os usuários possam resolver suas demandas.

O **Painel digital **serve para centralizar e disponibilizar online informações e formulários, cobrindo a maioria dos atendimentos que antes exigiam a presença física do solicitante.


## Quem pode solicitar

Este serviço é destinado a **servidores e pensionistas** do município do Rio de Janeiro."
Reparo de cabo de iluminação pública,
Cadastramento de vagas de emprego,"## **O que é:**

Este serviço permite que empresas realizem o cadastramento de suas organizações no sistema do portal Mais Emprego, gerenciado pelo Ministério do Trabalho e Emprego.


Após o cadastramento inicial da empresa, a organização deve entrar em contato para fornecer os detalhes necessários sobre as oportunidades. Neste processo, são confirmados dados como o CNPJ da empresa, o perfil profissional desejado e os requisitos dos cargos.


## **Para que serve:**

O objetivo é facilitar a publicação de vagas de emprego e permitir que empresas do Município do Rio de Janeiro disponibilizem suas vagas no portal Mais Emprego. Isso agiliza a conexão entre empregadores e trabalhadores, facilitando o encaminhamento de candidatos qualificados para os processos seletivos.


## **Quem pode solicitar:**

Empresas que desejam ofertar vagas de emprego no Município do Rio de Janeiro."
"Fiscalização da ocupação irregular de área pública por estabelecimentos comerciais, industriais ou serviços","## **O que é:**

Serviço de fiscalização de estabelecimentos comerciais, como lojas, bares, restaurantes e oficinas, que utilizam indevidamente áreas externas e públicas. Inclui a ocupação de calçadas com itens como caixas, araras, mesas e cadeiras, ou a execução de serviços nesses locais.  
A ação fiscal consiste em notificar e autuar os infratores caso seja constatada a ocupação irregular.


## **Para que serve:**

O serviço serve para combater e regularizar a ocupação indevida de áreas públicas por estabelecimentos com o objetivo de garantir o uso adequado do espaço público e evitar práticas que dificultem a circulação de pedestres e o bem-estar da população.


## **Quem pode solicitar:**

Qualquer cidadão que identifique ou presencie o uso irregular de área pública por estabelecimentos comerciais, industriais ou de serviços."
Informações sobre reboque ou remoção de veículos enguiçados ou acidentados,
Emissão de guia para pagamento à vista em Dívida Ativa,"## **O que é:**

Este serviço permite que o cidadão efetue pagamento total do saldo devedor dos débitos inscritos em Dívida Ativa.


## **Para que serve:**

Permite que cidadãos e empresas quitem suas dívidas fiscais com o município, regularizando sua situação perante a Dívida Ativa.


## **Quem pode solicitar:**

Cidadãos e empresas que possuem débitos fiscais inscritos na Dívida Ativa do Município do Rio de Janeiro e desejam efetuar o pagamento total."
"Limpeza de papeleira, contêiner e caçamba da COMLURB",
Solicitação de autorização de filmagem - Rio Film Commission,"## **O que é:**

A autorização para filmagens é um conjunto de documentos emitidos pelos órgãos municipais que permite a produção de conteúdos audiovisuais em áreas públicas do Rio de Janeiro. Isso inclui ruas, calçadas, praças, largos, parques, calçadões, orlas e praias, abrangendo qualquer tipo de obra de audiovisual como:

- longa-metragem,
- curta-metragem,
- reality show,
- programa de TV,
- filme publicitário,
- videoclipes
- web vídeo.
- filmagens internas que necessitem de reserva de vagas também estão incluídas.

Considera-se produção de conteúdo audiovisual em área pública toda intervenção relevante para fixar ou transmitir imagens em movimento, com ou sem som, independentemente dos meios de captação ou veiculação. Filmagens e gravações atendem a esta definição


## Para que serve:

Garantir a **legalidade** e **regularização** da produção de conteúdos audiovisuais em espaços públicos do Rio de Janeiro. O serviço assegura que as filmagens e gravações sejam realizadas em conformidade com as normas municipais, evitando interrupções e garantindo a segurança e o ordenamento urbano. Além disso, serve para **facilitar** a realização da produção do conteúdo audiovisual.


## **Quem pode solicitar:**

Qualquer pessoa jurídica ou física (estudantes) que deseje produzir conteúdo audiovisual em áreas públicas do Município do Rio de Janeiro.

Para isso, é necessário apresentar o requerimento de autorização com antecedência mínima de **7 dias úteis** antes da data de início da filmagem ou gravação.

- **Para produções de maior porte**, que envolvam instalação ou montagem de estrutura anterior à filmagem, bloqueio de via superior a um dia, ou mobilização de mais de 80 indivíduos, o requerimento deve ser apresentado com antecedência mínima de **15 dias úteis** a contar do início da instalação das estruturas.
- **Para gravações fora de praças, parques, largos ou unidades de conservação, com até 20 pessoas na participação da filmagem, sem estrutura e com baixo impacto** – é possível que seu requerimento seja autorizado por meio de um comunicado expresso, emitido pela Rio Film Commission, em** 1 dia útil.**
- A autorização final depende do parecer positivo (nada a opor) de órgãos como CET-RIO, Secretaria Municipal do Meio Ambiente da Cidade (SMAC), Fundação Parques e Jardins (FPJ) e Subprefeitura competente, além da RioFilme."
"Certidão Municipal de Inexigibilidade de Licenciamento Ambiental para atividades industriais, de comércio e serviços (CMI)",
Atendimento em Unidades de Pronto Atendimento (UPA 24 Horas),
Notificação ao proprietário para limpeza de resíduos em terreno baldio,
Reparo de buraco em calçada de Pedra Portuguesa,"## **O que é:**

Este serviço realiza a **fiscalização e o reparo de buracos em calçadas de Pedra Portuguesa**, com o objetivo de garantir a segurança dos pedestres e a conservação do espaço público.

A atuação do órgão responsável envolve a notificação do proprietário do imóvel que faz fronteira com a calçada, solicitando que ele realize o reparo. Caso o proprietário não atenda à solicitação, pode ser emitido um auto de infração.

Se a responsabilidade pelo dano na calçada for de concessionárias de serviços públicos, o órgão emite um edital ou auto de infração diretamente a elas.

É importante lembrar que a manutenção e conservação da calçada em frente ao terreno são de responsabilidade do proprietário do imóvel.


## **Para que serve:**

Este serviço serve para **garantir a conservação das calçadas de Pedra Portuguesa**, promovendo a segurança e o conforto dos pedestres. Ele assegura que os buracos e danos sejam reparados, evitando acidentes e mantendo a qualidade do passeio público.


## **Quem pode solicitar:**

Qualquer cidadão pode solicitar este serviço ao identificar um buraco ou dano em calçadas de Pedra Portuguesa."
Cartão de estacionamento para idosos,"## **O que é:**

Emissão do Cartão de Estacionamento para Idosos, um documento que permite a pessoas, com 60 anos ou mais, utilizar gratuitamente as vagas de estacionamento demarcadas. Este cartão possui validade nacional por 5 anos e pode ser usado em qualquer veículo, desde que o idoso esteja presente.

É possível solicitar uma segunda via do cartão em caso de perda, roubo ou danificação da via original, mediante comprovação. Cada CPF tem direito à emissão de apenas um cartão.


## **Para que serve:**

Garantir o direito de estacionamento gratuito em vagas demarcadas para idosos em todo o território nacional. O cartão assegura a isenção de pagamento em vagas do Rio Rotativo.

Para estacionamentos em shoppings, o cartão concede o direito a vagas especiais, mas não isenta o beneficiário do pagamento da tarifa de estacionamento do local. O documento conta com um QR Code para facilitar a fiscalização.


## **Quem pode solicitar:**

Cidadãos com idade igual ou superior a 60 anos. É necessário atender aos requisitos de idade e apresentar a documentação comprobatória para a emissão do cartão. Cada pessoa pode ter apenas um cartão associado ao seu CPF."
Atendimento em Policlínicas,"### O que é:

Informações sobre atendimentos ambulatoriais especializados realizados nas Policlínicas do Rio de Janeiro. Os serviços são oferecidos por equipes multiprofissionais e incluem consultas, procedimentos e exames.

Entre as especialidades disponíveis estão ginecologia, cardiologia, dermatologia, endocrinologia, ortopedia, pneumologia e otorrinolaringologia.

Também são realizados atendimentos com outros profissionais de nível superior, como nutricionistas, enfermeiros, psicólogos, fonoaudiólogos, terapeutas ocupacionais e fisioterapeutas.


### Como funciona:

O acesso às Policlínicas ocorre por meio de encaminhamento feito por uma Unidade Básica de Saúde de referência.

O paciente deve procurar a unidade onde é atendido e, caso haja necessidade, o médico realiza o encaminhamento para consulta com especialista. O agendamento é feito pelo Sistema de Regulação (SISREG).

Os serviços incluem pequenas cirurgias, suporte diagnóstico e terapêutico, Práticas Integrativas e Complementares e atendimento odontológico especializado nos Centros de Especialidades Odontológicas (CEOs).


## **Horários:**

As Policlínicas funcionam de segunda a sexta-feira, das 8h às 18h.


Unidades que também funcionam aos sábados:

- Policlínica José Paranhos Fontenelle: das 8h às 12h;
- Policlínica Carlos Alberto Nascimento: das 7h às 12h;
- Policlínica Lincoln de Freitas Filho: das 7h às 12h.


### Público-alvo:

Cidadãos que necessitam de atendimento especializado em saúde e que foram encaminhados por uma Unidade Básica de Saúde."
Imóveis penhorados como garantia para o pagamento de Execuções Fiscais,"## **O que é:**

Plataforma que reúne listagem de imóveis penhorados como garantia em execuções fiscais promovidas pela Procuradoria da Dívida Ativa situados na cidade do Rio de Janeiro e que podem ser encaminhados para leilão judicial, oferecendo a oportunidade que o cidadão manifeste interesse no imóvel e que seu proprietário realize os pagamentos das dívidas.


## **Para que serve:**

Oferecer ao cidadão a oportunidade de manifestar interesse em imóveis que podem ser levados a leilão judicial.

Permitir que o proprietário do imóvel realize os pagamentos das dívidas para evitar que o bem seja leiloado.


## **Quem pode solicitar:**

Cidadãos interessados em imóveis penhorados que podem ser encaminhados para leilão judicial.

Proprietários de imóveis, contribuintes, sucessores tributários, terceiros interessados ou responsáveis tributários que desejam pagar os débitos e retirar a unidade imobiliária da lista de imóveis disponíveis para leilão."
Distribuição de kit enxoval do bebê,"### O que é:

A distribuição do kit enxoval para bebês é destinada a gestantes participantes do Programa Cegonha Carioca. 

O enxoval inclui itens essenciais para o cuidado do recém-nascido, como:

- Bolsa;
- Trocador;
- Macacão;
- Casaco com capuz;
- Bodies;
- Calças;
- Toalha de banho;
- Manta e meias.

Os itens são padronizados em cor neutra, sem opção de escolha. Em casos de gestação gemelar, é entregue um kit para cada bebê.


### Como funciona:

O kit é entregue durante a visita à maternidade de referência, indicada ao longo do pré-natal para o atendimento ao parto. Essas visitas são agendadas durante o acompanhamento gestacional e ocorrem no terceiro trimestre, a partir da 28ª semana.

A gestante deve estar vinculada a uma unidade da rede municipal de saúde e seguir o fluxo de acompanhamento do programa para realizar a visita e receber o enxoval.


### Público-alvo:

Gestantes participantes do Programa Cegonha Carioca que realizam a visita guiada à maternidade de referência e têm o parto previsto em unidade da rede da Secretaria Municipal de Saúde."
IPTU - Autenticidade da Certidão de Elementos Cadastrais,"## O que é:

Este serviço permite a confirmar a autenticidade de uma certidão de elementos cadastrais do IPTU que já foi emitida, apresentando os dados da sua emissão como: data, informações do imóvel e dos titulares cadastrados.


## Para que serve:

Permite confirmar se o documento é legítimo e não foi alterado. Desta forma, garante a validade e a veracidade das informações contidas na certidão de elementos cadastrais do IPTU.


## Quem pode solicitar:

Qualquer cidadão ou instituição que precise verificar a autenticidade de uma certidão de elementos cadastrais do IPTU."
Informações sobre o material Rioeduca,
Remoção de carcaça de veículo não identificável,
Verificação do número do processo aberto na Secretaria Municipal de Transportes,
Patrimônio – Remição de Foro,
"Manutenção de mobiliário, brinquedos e equipamentos esportivos em praças e parques públicos",
Informações sobre pecúlio,"## **O que é:**

O Pecúlio é um seguro destinado a servidores ativos, aposentados e seus dependentes. Ele corresponde a uma vez o valor da remuneração sobre a qual incidiu a contribuição previdenciária no mês do óbito do segurado. O benefício tem um valor total limitado ao teto remuneratório vigente no Município no momento do falecimento.


## **Para que serve:**

Este serviço oferece suporte financeiro aos beneficiários do servidor falecido. Garante que os dependentes recebam um valor único, auxiliando nas despesas e na transição após o óbito do segurado.


## **Quem pode solicitar:**

O pecúlio pode ser solicitado pelos beneficiários habilitados pelo servidor no Previ-Rio. Caso o servidor não tenha deixado registro de quem são os beneficiários, o pagamento seguirá a seguinte ordem:

- o cônjuge
- o companheiro ou companheira, com quem o segurado mantivesse união estável ou homoafetiva comprovada na data do óbito
- os filhos até 21 anos de idade
- os filhos inválidos, sem limite de idade
- os menores colocados sob a guarda ou tutela judicial do segurado
- na ausência dos beneficiários anteriores, os pais, ou irmãos menores de 21 anos ou inválidos, desde que comprovadamente dependentes economicamente do segurado
- o ex-cônjuge ou ex-companheiro, desde que seja beneficiário de pensão alimentícia judicial.

Para o pagamento do pecúlio, **não é exigida a comprovação de dependência econômica**."
Informações sobre fiscalização de irregularidades em linhas de ônibus,
Reinstalação de ponto de luz,
Licenciamento Truck Rio,"## **O que é:**

Este serviço consiste na **concessão de autorização** **para o exercício da atividade de Economia Sobre Rodas** no município. É voltado especificamente para a venda de alimentos artesanais e bebidas, produtos e serviços, em veículos automotores, módulos acoplados por reboque, ambos emplacados, e triciclos movidos à propulsão humana em áreas públicas, conhecidos como **Trucks e Triciclos**. A autorização permite que empreendedores atuem de forma regularizada, seguindo as normas municipais para este tipo de comércio.


## **Informações complementares:**

A Coordenação de Economia Sobre Rodas - CESR, fará a análise técnica do requerimento para Consulta Prévia de Local, e encaminhará para as Subprefeituras locais/CET-Rio a solicitação para a liberação da(s) vaga(s) pretendida(s).

O solicitante deverá ficar atento ao encaminhamento de comunicação eletrônica através do e-mail cadastrado com as devidas orientações. As possíveis respostas para o requerimento são:  
• Exigência documental;  
• Locais negados (com possibilidade de indicação de novos locais);  
• Deferido; e  
• Indeferido.


Acesse **[aqui](https://ordempublica.prefeitura.rio/wp-content/uploads/sites/30/2024/10/TERMO-USO_AVISO-PRIVACIDADE_CESR_TRUCKRIO-v1-1.pdf)** o Termo de Uso e Aviso de Privacidade.


## **Para que serve:**

O serviço garante a legalidade e a regularização da atividade de venda de alimentos artesanais e bebidas, produtos e serviços, em Trucks e Triciclos. Ele permite que comerciantes ofereçam seus produtos diretamente aos consumidores em diferentes locais da cidade, sob autorização municipal.


## **Quem pode solicitar:**

Este serviço pode ser solicitado por Empresários, Microempresários (ME) ou Microempreendedores Individuais (MEI)."
Solicitação de vacinação em domicílio,
Requerimento de adiantamento de décimo terceiro salário para servidor ativo,"## **O que é:**

O adiantamento do décimo terceiro salário é um benefício concedido aos servidores municipais em circunstâncias especiais.


## **Para que serve:**

Este serviço permite que servidores recebam uma parte do décimo terceiro salário de forma antecipada. O benefício visa oferecer suporte financeiro em situações como gestação, cirurgias com internação, tratamento de doenças crônicas e adoção formal de filho.


## **Quem pode solicitar:**

Podem solicitar este adiantamento os **servidores ativos**. A concessão ocorre em circunstâncias especiais que justifiquem a necessidade de apoio financeiro antecipado."
Programa Trabalha Rio,"## **O que é:**

O Programa Trabalha Rio divulga vagas de trabalho e cursos de capacitação profissional, atuando por meio de ações descentralizadas e itinerantes.


Semanalmente, equipes do Trabalha Rio realizam ações em locais previamente divulgados para cadastrar currículos de trabalhadores no banco de oportunidades da SMTE.


## **Para que serve:**

O objetivo principal é facilitar o acesso da população aos atendimentos prestados pela Secretaria Municipal de Trabalho e Renda (SMTE). Este serviço serve para aproximar trabalhadores em busca de emprego de empresas com vagas disponíveis.


Além disso, oferece orientação para quem deseja tirar a carteira de trabalho, solicitar o Seguro-Desemprego ou se inscrever em oficinas de qualificação profissional, como o Qualifica.Rio.


## **Quem pode solicitar:**

Cidadãos que estão em busca de uma vaga de emprego, que desejam se capacitar profissionalmente, ou que necessitam de informações e orientações sobre temas como seguro-desemprego e carteira de trabalho digital."
Reparo de poste caído ou em risco de queda,
Fornecedores de bens e serviços – solicitação de cadastro,
