titulo_servico,nome_orgao,categoria,status_do_servico,analise_relevancia
Permissão para veículos de carga e descarga de mudanças residenciais,Companhia de Engenharia de Tráfego do Rio de Janeiro,Licenças,Publicado,Fica
Informações sobre os procedimentos para sepultamento,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Bloqueio de pagamento de servidor aposentado e pensionista,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Alvará - Solicitação de alteração cadastral,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Atendimento domiciliar para vacinação antirrábica animal,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Consulta à Legislação,Secretaria Municipal de Administração,Cidadania,Em Edição,Fica
Notificação de falta de água ou luz,Secretaria Especial de Proteção e Defesa do Consumidor,Cidadania,Publicado,Fica
ISS Visto Fiscal/Inclusão Predial – Gerar DARM para pagamento à vista (exclusivo para Processos abertos na Gerência de Visto Fiscal),Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre o Programa Rio + Cursos,Secretaria Municipal de Trabalho e Renda,Educação,Publicado,Fica - Validado
Comunicação de Autovistoria,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Em Edição,Fica
Nota Carioca - cancelamento e substituição de nota fiscal eletrônica,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Nota Carioca – Cadastro: alteração de dados do tomador e obrigatoriedade de cadastro,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre o Centro de Referência Especializado para População em Situação de Rua – CENTRO POP,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
Sessões de cúpula no Planetário do Rio,Fundação Planetário da Cidade do Rio de Janeiro,Cultura,Em Edição,Fica
Patrimônio – Consulta Enfiteuse,Subsecretaria de Planejamento e Acompanhamento de Resultados,Tributos,Publicado,Fica
Solicitação de plantio de árvore em área pública,Fundação Parques e Jardins,Meio Ambiente,Publicado,Fica
Informações e serviços nos postos de atendimento da Secretaria Municipal de Fazenda,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Avaliação para instalação e/ou retirada de papeleira,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Não fica - validado
ISS – Restituição de indébitos de ISS de autônomos e de taxas,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Fiscalização dos serviços de esgoto da Zona Oeste Mais Saneamento,Fundação Instituto das Águas do Município do Rio de Janeiro,Cidadania,Em Edição,Fica
Reparo de calçada danificada por raiz,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Reparo de sinal de trânsito travado,Companhia de Engenharia de Tráfego do Rio de Janeiro,Trânsito,Publicado,Fica
Nota Carioca – Autenticidade: Verificação,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre abertura de escola de Educação Infantil,Secretaria Municipal de Educação,Educação,Publicado,Fica
Realização de exames laboratoriais em animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Informações sobre o GeoPAL,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica - Validado
Fiscalização sanitária de estabelecimentos comerciais em geral,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Taxas – Emissão de DARM da Taxa de Fiscalização de Cemitérios,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Remoção de toco e raiz (destoca),Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
ITBI – Revalidação de protocolo com instrumento já lavrado (fiscalização),Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Autorização de Táxi/Mototáxi para Motoristas Auxiliares - Abertura de Termo,Secretaria Municipal de Transportes,Licenças,Publicado,Fica
Consulta ao andamento de processos administrativos da Coordenadoria de Licenciamento e Fiscalização,Coordenadoria de Licenciamento e Fiscalização,Licenças,Em Edição,Não fica - validado
"ISS - Restituição e crédito na Nota Carioca de ISS/Taxas, autônomos e Visto Fiscal",Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
"ITBI – Dúvidas sobre avaliação, interpretação e aplicação da legislação tributária",Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Informações sobre Família Acolhedora – FACO,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
"Concessão de autorização de matrícula nova em Feiras Livres, Feiras Móveis, Feiras Especiais e Antiquários",Secretaria Municipal de Ordem Pública,Licenças,Publicado,Fica
ITBI – Cumprimento de exigência em processo administrativo,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Consulta de multas por permissão em táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre aferição dos equipamentos de fiscalização eletrônica,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Certidão de cadastro de taxista/mototaxista - Verificação do tempo de serviço,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
IPTU – Verificação da Autenticidade da Certidão de Valor Venal,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Emissão de carta de isenção tributária por permissão de Táxi/Mototáxi,Secretaria Municipal de Transportes,Tributos,Publicado,Fica
ISS – Apropriação de guia de pagamento (exceto código de receita 129-5),Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Tesouro – Auto de Infração Administrativo SMFP,Secretaria Municipal de Fazenda,Licenças,Em Edição,Fica
Informações sobre empresas conveniadas com a Prefeitura,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Certidão Municipal de Dispensa de Licenciamento Ambiental (CMD),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Meio Ambiente,Publicado,Fica
ID Jovem,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
Informações sobre os Centro de Referência Especializado de Assistência Social – CREAS,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Fica
ISS – Emissão de Certidão de Elementos Cadastrais,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Averbação de tempo de contribuição / serviço,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Fiscalização da higiene em mercados e supermercados,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Informações sobre concursos públicos,Secretaria Municipal de Administração,Trabalho,Publicado,Fica
Informações sobre o Conselho Tutelar,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Não fica - validado
Nota Carioca – Cadastro Municipal: Número de Inscrição,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Fiscalização de poluição sonora,Secretaria Municipal de Meio Ambiente e Clima,Meio Ambiente,Publicado,Fica
Multa de trânsito paga/não recebida,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre ações de ordenamento urbano,Secretaria Municipal de Ordem Pública,Cidade,Publicado,Não fica - validado
Fundo de proteção animal,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica - Validado
Informações sobre a transferência de titularidade de jazigo,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Em Edição,Fica
Cadastramento de profissional na Rio-Águas,Fundação Instituto das Águas do Município do Rio de Janeiro,Cidade,Publicado,Fica
Atendimento da Coordenadoria Técnica de Perícias Médicas,Secretaria Municipal de Administração,Servidor,Publicado,Fica
ISS - Impugnação a auto de infração ou nota de lançamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Agendamento e atendimento de audiências,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Emissão de taxas por permissão em táxi,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Realização de visita guiada à maternidade,Secretaria Municipal de Saúde,Saúde,Aguardando Aprovação,Fica
Informação sobre a situação dos imóveis no Município do Rio de Janeiro,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Informações sobre o PIS/PASEP,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Licença Municipal de Operação (LMO),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Alvará de Licença de Estabelecimento - Solicitação de baixa da atividade,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Fiscalização sanitária em serviços de saúde,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Patrimônio – Transferência do foreiro,Superintendência Executiva de Patrimônio Imobiliário,Tributos,Publicado,Fica
Informações sobre o uso de quadras de esporte no Aterro,Secretaria Municipal de Esportes,Cidade,Publicado,Fica
Redução de carga horária do servidor,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Informações sobre leilão de veículos rebocados,Secretaria Municipal de Ordem Pública,Transporte,Publicado,Fica
Informações sobre Planta Aerofotogramétrica (Planta Cadastral),Instituto Municipal de Urbanismo Pereira Passos,Cidade,Publicado,Fica
Cancelamento de cobrança em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
Certidão de inexistência de atividade econômica,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Informações sobre a inclusão de alunos da Educação Especial,Secretaria Municipal de Educação,Educação,Publicado,Fica
Manutenção de sinalização gráfica horizontal viária,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Licença de edificação unifamiliar ou bifamiliar,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Informações sobre o Super Centro Carioca de Saúde,Secretaria Municipal de Saúde,Saúde,Em Edição,Fica
Fiscalização de corte ou sacrifício de árvore,Secretaria Municipal de Meio Ambiente e Clima,Meio Ambiente,Publicado,Fica
Verificação de alteração indevida de itinerário de ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre desvios e interdições de vias,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Aguardando Aprovação,Fica
ISS – Certidão de Pagamento de ISS ou Taxa,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Informações sobre o auxílio medicamento,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
ISS – Acréscimos Moratórios,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Fiscalização de poluição do ar,Secretaria Municipal de Meio Ambiente e Clima,Meio Ambiente,Publicado,Fica
Fiscalização de eventos com exposição de animais,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Informações sobre os endereços da Rio-Águas e Zona Oeste Mais Saneamento,Fundação Instituto das Águas do Município do Rio de Janeiro,Cidade,Em Edição,Não fica - validado
Licença de demolição de edificação,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Segunda via de cotas de pagamento em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
ISS – Visto Fiscal/Inclusão Predial – Ciência de Nota de Lançamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Fiscalização de marquises e estruturas,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Instalação e manutenção de placas de identificação de rua,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Informações sobre consulta e estorno de pagamento de benefícios / auxílios,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
"Requerimento para acumulação de cargos, empregos e funções na Administração Direta e Indireta",Secretaria Municipal de Administração,Servidor,Publicado,Fica
Nota Carioca – Denúncia de não emissão da nota,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Fiscalização de transporte complementar,Secretaria Municipal de Ordem Pública,Transporte,Publicado,Fica
Instalação do Validador Jaé,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Requerimento para emissão do Perfil Profissiográfico Previdenciário – PPP,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Nota Carioca – Retenção: tomadores de serviços de outros municípios,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Nota Carioca – Cadastramento no sistema e Certificado digital,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre o Pró-Carioca - Programa de Fomento à Cultura Carioca,Secretaria Municipal de Cultura,Cultura,Publicado,Não fica - validado
Fornecimento de informações sobre PAA e PAL,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Informações sobre o sistema de custo de obras,Secretaria Municipal de Infraestrutura,Cidade,Publicado,Fica
Informações sobre Auto de Interdição da Defesa Civil,Subsecretaria de Proteção e Defesa Civil,Cidade,Aguardando Aprovação,Fica
Feiras Especiais de Artes - Feirartes,Secretaria Municipal de Cultura,Cultura,Publicado,Fica
Certidão de Histórico de Revisão de Numeração,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Consulta de validade de contracheques,Secretaria Municipal de Administração,Servidor,Publicado,Fica
Insatisfação com o atendimento da Central 1746,Secretaria Municipal da Casa Civil,Cidadania,Publicado,Fica
Licenciamento de reparo emergencial em vias públicas,Secretaria Municipal de Conservação e Serviços Públicos,Licenças,Publicado,Fica
RECRED – Programa de Recuperação de Créditos de Multas Disciplinares,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Solicitação de orientação do COMDEF-RIO,Secretaria Municipal da Pessoa com Deficiência,Cidadania,Publicado,Não fica - validado
Reparo de tampão ou poste danificado ou fora de prumo,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica - Validado
Informações sobre acolhimento institucional de adultos idosos e famílias em vulnerabilidade,Secretaria Municipal de Assistência Social,Família,Em Edição,Não fica - validado
Patrimônio – Parcelamento de foros anuais em atraso,Superintendência Executiva de Patrimônio Imobiliário,Tributos,Publicado,Fica
ISS – Paralisação temporária da atividade,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
"ISS - Certidão de Visto Fiscal para fins de ""Habite-se"" ou aceitação da obra",Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Emissão de Declaração de Tempo de Contribuição,Secretaria Municipal de Administração,Servidor,Publicado,Fica
ISS – Declaração de Pessoa Não Inscrita,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Transação individualizada em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
Patrimônio – Permissão de uso de imóvel municipal,Superintendência Executiva de Patrimônio Imobiliário,Cidade,Em Edição,Fica
Atendimento clínico para animais com Esporotricose,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica - Validado
Troca de endereço de correspondência / e-mail de inativo ou pensionista no Previ-rio,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
ITBI – Abertura de processo sem formulário específico,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Limpeza de praias,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
ITBI – Processo de Parcelamento de crédito,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Fiscalização de banca de jornal,Coordenadoria de Licenciamento e Fiscalização,Cidade,Publicado,Fica
Vista de processo ou requerimento em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
Nota Carioca - Simples Nacional: emissão de nota carioca e procedimentos,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre ressarcimento de danos à terceiros no caso de acidentes com veículos e/ou equipamentos da COMLURB,Companhia Municipal de Limpeza Urbana,Cidade,Aguardando Aprovação,Fica - Validado
Licença Municipal Simplificada (LMS),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Licenças,Publicado,Fica
Fiscalização de obras em Área de Especial Interesse Social ou Comunidade,Secretaria Municipal de Ordem Pública,Cidade,Publicado,Fica
Programa de Atenção Domiciliar ao Idoso (PADI),Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Informações sobre o auxílio adoção,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Atendimento em maternidades,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Informações sobre poda de árvores em áreas privadas,Fundação Parques e Jardins,Meio Ambiente,Publicado,Fica
Licenciamento para execução de obra e/ou reparo programados em vias públicas,Secretaria Municipal de Conservação e Serviços Públicos,Licenças,Publicado,Fica
Autorização para publicidade vinculada a eventos,"Riocentro S.A. - Centro de Feiras, Exposições e Congressos do Rio de Janeiro",Licenças,Publicado,Fica
Mensagens de alerta da Defesa Civil,Subsecretaria de Proteção e Defesa Civil,Segurança,Publicado,Fica
Informações sobre o treinamento para taxistas,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Licença para construção de muro ou gradis,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Captura para análise de morcegos caídos ou que atacaram pessoas e/ou animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
Declaração eletrônica de Nada Consta do servidor,Controladoria Geral do Município do Rio de Janeiro,Servidor,Publicado,Fica
ISS – Emissão de declaração de realização de eventos,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Carteira de Trabalho Digital,Secretaria Municipal de Trabalho e Renda,Cidadania,Publicado,Fica - Validado
Usucapião Extrajudicial,Procuradoria Geral do Município do Rio de Janeiro,Cidadania,Publicado,Fica - Validado
Carta de cobrança e informações sobre existência de débitos,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Nota Carioca - Emissão: autorização e procedimento,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Cadastramento de CPF/CNPJ,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Cursos de Astronomia no Planetário do Rio,Fundação Planetário da Cidade do Rio de Janeiro,Cultura,Em Edição,Fica
Emissão de Certidão de Pagamento de ITBI - 2ª via,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Frequência irregular de coleta seletiva,Companhia Municipal de Limpeza Urbana,Meio Ambiente,Publicado,Fica
Eleições para Conselheiro Tutelar do Rio de Janeiro,Secretaria Municipal de Assistência Social,Família,Em Edição,Fica - Validado
Reparo em gradis e guarda-corpo de viadutos e pontes,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Fiscalização do atendimento prestado pela Zona Oeste Mais Saneamento,Fundação Instituto das Águas do Município do Rio de Janeiro,Ouvidoria,Em Edição,Não fica - validado
Nota Carioca - Informações sobre carta de correção,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Informações sobre a administração de medicamentos em Unidade Escolar,Secretaria Municipal de Educação,Educação,Publicado,Não fica - validado
ITBI – Relatório de Reposição (inventário e separação/divórcio) ou de Extinção de Condomínio após o pagamento da guia,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Requerimento para implantação ou reposição de equipamento de fiscalização eletrônica (CET-Rio),Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Retirada de caçamba particular cheia,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Manutenção de banheiros públicos,Superintendência Executiva de Patrimônio Imobiliário,Cidade,Aguardando Aprovação,Fica
Inclusão de veículos em Modais de Transporte,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
"Licença para construção ou modificação de edificação/ LICIN, prorrogação de licença",Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Fica
Informações sobre doação de livros,Secretaria Municipal de Educação,Educação,Publicado,Fica
Cadastramento de imóvel de benfeitoria/posse,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Requerimento para implantação de quebra-molas,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
ITBI – Impugnação de lançamento e recurso de decisão,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Relação de licenças ambientais emitidas,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Meio Ambiente,Publicado,Fica
Solicitação de implantação ou remanejamento de ponto de ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre o Censo Cadastral Previdenciário,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Requerimento para instalação de sinal de trânsito,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Restituição de indébito em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
ISS – Cálculo do valor atualizado de débito não inscrito em Dívida Ativa,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Alvará - Recurso de Consulta Prévia,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Requerimento para implantação de área para carga e descarga comum ou temporária para obras,Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
ISS - Solicitação de envio de débito de ISS para Dívida Ativa,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Consulta de requerimentos na Vigilância Sanitária,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Alteração no nome do proprietário no cadastro do IPTU,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
Observação do Céu no Planetário do Rio,Fundação Planetário da Cidade do Rio de Janeiro,Cultura,Em Edição,Fica
"Alteração na escolaridade nos cargos de merendeira, agente educador e inspetor para aposentados",Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Não fica - validado
Informações sobre o Sistema de Notificação Eletrônica (SNE),Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Informações sobre sinaleiras de garagem,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Cidade,Publicado,Não fica - validado
Informações sobre desaparecimento/remoção de ossada humana em cemitério,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Aguardando Aprovação,Fica - Validado
Fiscalização de desmatamento,Secretaria Municipal de Meio Ambiente e Clima,Meio Ambiente,Publicado,Fica
Realização de exames de imagem em animais,Secretaria Municipal de Proteção e Defesa dos Animais,Animais,Publicado,Fica
"ISS - Informações sobre reconhecimento de imunidade, não incidência, isenção e redução de ISS",Secretaria Municipal de Fazenda,Tributos,Publicado,Fica
Notificação de casos de intolerância étnico-racial,Secretaria Especial de Direitos Humanos e Igualdade Racial,Cidadania,Publicado,Fica
Multa de Trânsito - Solicitação de cópia de Aviso de Recebimento,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Solicitação de reforma de jardins de praças ou de canteiros centrais,Fundação Parques e Jardins,Cidade,Publicado,Fica
Credenciamento de profissionais e empresas na Fundação Parques e Jardins,Fundação Parques e Jardins,Meio Ambiente,Publicado,Fica
Informações sobre as Embaixadas Cariocas,Secretaria Especial de Integração Metropolitana,Cidadania,Publicado,Fica
Informações sobre Acolhimento Institucional de crianças e adolescentes,Secretaria Municipal de Assistência Social,Família,Em Edição,Fica
Informações sobre portabilidade bancária (troca de Banco) para aposentados e pensionistas,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
"Ingresso ou baixa em cooperativa, associação ou prestadora de serviço de táxi",Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Vistoria pós-incêndio,Subsecretaria de Proteção e Defesa Civil,Cidade,Publicado,Fica
Acompanhamento de solicitação no Procon Carioca,Secretaria Especial de Proteção e Defesa do Consumidor,Cidadania,Publicado,Fica - Validado
Reparo de luminária fora de posição,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica
Vistoria em ônibus,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Baixa de veículos dos modais de transporte,Secretaria Municipal de Transportes,Transporte,Publicado,Fica
Registro de engenheiros e empresas do ramo de aparelhos de transporte,Companhia Municipal de Energia e Iluminação,Licenças,Publicado,Fica
Emissão de Cópia Autêntica (Defesa Civil),Subsecretaria de Proteção e Defesa Civil,Cidade,Publicado,Fica
Cadastro Moto.Rio,Secretaria Municipal de Transportes,Transporte,Publicado,Não fica - validado
Remoção de animais mortos em via pública,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica
Informações sobre o Arquivo Geral da Cidade,Secretaria Municipal de Cultura,Cultura,Publicado,Fica
Informações sobre endereços de cemitérios e serviços funerários,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Aguardando Aprovação,Fica - Validado
Consulta a andamento de processos físicos de licenciamento ambiental,Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Meio Ambiente,Publicado,Fica
Legalização de obra e/ou reparo em vias públicas,Secretaria Municipal de Conservação e Serviços Públicos,Licenças,Publicado,Fica
Reparo de poste ou tampão da Rioluz dando choque,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica
Manutenção de equipamentos das Academias da Terceira Idade (ATI),Secretaria Municipal do Envelhecimento Saudável e Qualidade de Vida,Saúde,Publicado,Fica
Fiscalização sanitária em serviços de embelezamento e atividades físicas,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Saúde,Publicado,Fica
Habilitação prévia de beneficiário para recebimento do Pecúlio,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Verificação de Autenticidade de Documentos de Processos Administrativos,Secretaria Municipal da Casa Civil,Cidadania,Em Edição,Fica - Validado
Informações sobre Portal da Transparência Rio,Secretaria Municipal de Integridade e Transparência,Cidadania,Publicado,Não fica - validado
Inclusão de pessoas com deficiência no mercado de trabalho,Secretaria Municipal da Pessoa com Deficiência,Cidadania,Publicado,Fica
Minhas Bancas de jornais e revistas,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
Solicitação de desinterdição à Defesa Civil,Subsecretaria de Proteção e Defesa Civil,Cidade,Publicado,Fica
Autorização de Remoção de Vegetação (ARV),Secretaria Municipal de Desenvolvimento Urbano e Licenciamento,Meio Ambiente,Publicado,Fica
Verificação de ocorrências na conexão BRT,Companhia Municipal de Transportes Coletivos,Transporte,Publicado,Fica
Informações sobre bolsa de estudo,Instituto de Previdência e Assistência do Município do Rio de Janeiro,Servidor,Publicado,Fica
Nota Carioca - mensagem de erro no sistema da Nota pela opção do Simples Nacional,Secretaria Municipal de Fazenda,Tributos,Em Edição,Fica
ISS – Retirada de bloqueio da inscrição municipal,Secretaria Municipal de Fazenda,Tributos,Aguardando Aprovação,Fica
Distribuição de insumos para tratamento de diabetes com insulina,Secretaria Municipal de Saúde,Saúde,Publicado,Fica
Informações sobre a instalação de quebra-molas (após avaliação favorável da CET-RIO),Companhia de Engenharia de Tráfego do Rio de Janeiro,Transporte,Publicado,Fica
Informações sobre os endereços e canais de contato da Zona Oeste Mais Saneamento,Fundação Instituto das Águas do Município do Rio de Janeiro,Cidade,Em Edição,Fica
Informações sobre Conselho Tutelar e justiça contra criança e/ou adolescente,Secretaria Municipal de Assistência Social,Família,Em Edição,Fica - Validado
Fiscalização de danos ao patrimônio público,Guarda Municipal do Rio de Janeiro,Cidade,Publicado,Fica
Casas da Mulher Carioca,Secretaria Especial de Políticas para Mulheres e Cuidados,Cidadania,Publicado,Fica
Alegação de pagamento em Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica
TAXI.RIO Cidades - Informações sobre utilização do aplicativo,Empresa Municipal de Informática S.A.,Transporte,Publicado,Fica
Recurso contra negativa ou omissão de Acesso à Informação,Secretaria Municipal de Integridade e Transparência,Lei de Acesso à Informação (LAI),Publicado,Fica
Fiscalização de drenagem irregular,Secretaria Municipal de Conservação e Serviços Públicos,Cidade,Publicado,Fica
Recurso para auto de infração de atividade econômica,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica
